id_cliente,nombre,municipio,modalidad_pref,fecha_alta
C048,Cliente 48,Cadiz,Spinning,2023-05-29
C049,Cliente 49,Cadiz,Eging,2023-04-30
C050,Cliente 50,Santander,Surfcasting,2023-03-26
C051,Cliente 51,Gijon,Spinning,2023-07-17
C052,Cliente 52,Gijon,Eging,2024-01-22
C053,Cliente 53,Santander,Vivo,2024-02-08
C054,Cliente 54,Cadiz,Curri,2024-01-22
C055,Cliente 55,Alicante,Surfcasting,2024-04-10
C056,Cliente 56,Alicante,Eging,2023-09-05
C057,Cliente 57,Alicante,Eging,2024-03-04
C058,Cliente 58,Valencia,Vivo,2023-11-07
C059,Cliente 59,Santander,Surfcasting,2023-12-14
C060,Cliente 60,Valencia,Eging,2023-12-18
C061,Cliente 61,Alicante,Vivo,2023-12-06
C062,Cliente 62,Cadiz,Jigging,2023-05-20
C063,Cliente 63,Santander,Surfcasting,2023-05-02
C064,Cliente 64,Castellon,Eging,2023-07-26
C065,Cliente 65,Valencia,Curri,2023-11-11
C066,Cliente 66,Castellon,Surfcasting,2023-04-09
C067,Cliente 67,Cadiz,Spinning,2023-06-29
C068,Cliente 68,Santander,Vivo,2023-11-26
C069,Cliente 69,Cadiz,Curri,2024-01-07
C070,Cliente 70,Cadiz,Vivo,2023-02-26
C071,Cliente 71,Cadiz,Curri,2023-10-17
C072,Cliente 72,Cadiz,Spinning,2023-03-16
C073,Cliente 73,Castellon,Surfcasting,2023-03-10
C074,Cliente 74,Gijon,Jigging,2023-09-03
C075,Cliente 75,Santander,Vivo,2023-12-15
C076,Cliente 76,Cadiz,Vivo,2023-11-18
C077,Cliente 77,Cadiz,Surfcasting,2024-01-17
C078,Cliente 78,Castellon,Surfcasting,2024-02-07
C079,Cliente 79,Alicante,Spinning,2024-02-08
C080,Cliente 80,Castellon,Jigging,2023-06-19
C081,Cliente 81,Santander,Curri,2023-08-08
C082,Cliente 82,Valencia,Jigging,2024-02-07
C083,Cliente 83,Cadiz,Surfcasting,2024-04-13
C084,Cliente 84,Alicante,Surfcasting,2023-05-09
C085,Cliente 85,Valencia,Jigging,2023-07-27
C086,Cliente 86,Cadiz,Curri,2023-06-01
C087,Cliente 87,Valencia,Eging,2023-09-28
C088,Cliente 88,Cadiz,Vivo,2024-03-14
C089,Cliente 89,Santander,Spinning,2023-04-08
C090,Cliente 90,Santander,Jigging,2024-01-09
C091,Cliente 91,Alicante,Vivo,2023-06-23
C092,Cliente 92,Castellon,Curri,2023-03-23
C093,Cliente 93,Alicante,Vivo,2024-02-17
C094,Cliente 94,Castellon,Eging,2024-03-04
C095,Cliente 95,Santander,Surfcasting,2024-02-28
C096,Cliente 96,Castellon,Curri,2024-03-18
C097,Cliente 97,Gijon,Curri,2023-05-12
C098,Cliente 98,Cadiz,Spinning,2023-04-12
C099,Cliente 99,Castellon,Spinning,2023-07-21
C100,Cliente 100,Cadiz,Eging,2024-03-06
C101,Cliente 101,Alicante,Vivo,2023-01-08
C102,Cliente 102,Santander,Jigging,2023-12-05
C103,Cliente 103,Alicante,Jigging,2023-01-07
C104,Cliente 104,Santander,Vivo,2023-02-05
C105,Cliente 105,Gijon,Spinning,2023-08-13
C106,Cliente 106,Valencia,Surfcasting,2024-05-01
C107,Cliente 107,Castellon,Curri,2023-12-10
C108,Cliente 108,Valencia,Jigging,2023-04-25
C109,Cliente 109,Gijon,Vivo,2023-06-15
C110,Cliente 110,Alicante,Surfcasting,2023-11-15
C111,Cliente 111,Alicante,Spinning,2023-07-09
C112,Cliente 112,Santander,Jigging,2023-10-09
C113,Cliente 113,Cadiz,Curri,2023-12-02
C114,Cliente 114,Cadiz,Jigging,2023-08-03
C115,Cliente 115,Castellon,Curri,2023-09-19
C116,Cliente 116,Valencia,Curri,2023-07-01
C117,Cliente 117,Gijon,Eging,2024-03-22
C118,Cliente 118,Alicante,Surfcasting,2024-01-20
C119,Cliente 119,Alicante,Vivo,2024-01-26
C120,Cliente 120,Gijon,Eging,2023-05-11
C121,Cliente 121,Cadiz,Vivo,2023-01-24
C122,Cliente 122,Valencia,Jigging,2023-04-10
C123,Cliente 123,Castellon,Curri,2024-02-08
C124,Cliente 124,Castellon,Vivo,2023-07-20
C125,Cliente 125,Cadiz,Eging,2023-06-26
C126,Cliente 126,Cadiz,Surfcasting,2024-04-07
C127,Cliente 127,Santander,Spinning,2023-01-01
C128,Cliente 128,Castellon,Spinning,2023-09-16
C129,Cliente 129,Castellon,Spinning,2023-11-12
C130,Cliente 130,Alicante,Spinning,2024-03-10
C131,Cliente 131,Santander,Surfcasting,2023-11-04
C132,Cliente 132,Alicante,Jigging,2023-04-27
C133,Cliente 133,Santander,Curri,2024-04-09
C134,Cliente 134,Cadiz,Surfcasting,2023-09-08
C135,Cliente 135,Castellon,Curri,2023-10-08
C136,Cliente 136,Alicante,Vivo,2023-12-31
C137,Cliente 137,Gijon,Surfcasting,2023-07-04
C138,Cliente 138,Castellon,Surfcasting,2023-04-12
C139,Cliente 139,Valencia,Jigging,2023-10-07
C140,Cliente 140,Santander,Curri,2023-06-25
C141,Cliente 141,Castellon,Eging,2023-03-10
C142,Cliente 142,Valencia,Surfcasting,2023-03-13
C143,Cliente 143,Alicante,Surfcasting,2024-02-19
C144,Cliente 144,Gijon,Vivo,2024-04-21
C145,Cliente 145,Alicante,Eging,2024-03-23
C146,Cliente 146,Castellon,Curri,2023-07-26
C147,Cliente 147,Santander,Jigging,2023-03-22
C148,Cliente 148,Cadiz,Vivo,2023-03-17
C149,Cliente 149,Valencia,Vivo,2024-04-15
C150,Cliente 150,Valencia,Vivo,2024-03-28
C151,Cliente 151,Gijon,Vivo,2023-10-18
C152,Cliente 152,Valencia,Surfcasting,2023-10-03
C153,Cliente 153,Santander,Eging,2023-08-19
C154,Cliente 154,Castellon,Vivo,2023-12-23
C155,Cliente 155,Castellon,Vivo,2023-06-03
C156,Cliente 156,Castellon,Eging,2023-01-01
C157,Cliente 157,Gijon,Spinning,2023-09-04
C158,Cliente 158,Santander,Vivo,2023-06-30
C159,Cliente 159,Valencia,Surfcasting,2023-08-06
C160,Cliente 160,Alicante,Surfcasting,2023-11-02
C161,Cliente 161,Cadiz,Jigging,2024-01-11
C162,Cliente 162,Castellon,Eging,2023-10-26
C163,Cliente 163,Valencia,Curri,2023-02-07
C164,Cliente 164,Castellon,Vivo,2023-11-17
C165,Cliente 165,Santander,Vivo,2023-12-23
C166,Cliente 166,Gijon,Spinning,2023-07-06
C167,Cliente 167,Cadiz,Spinning,2023-01-25
C168,Cliente 168,Gijon,Spinning,2023-01-16
C169,Cliente 169,Santander,Vivo,2023-11-06
C170,Cliente 170,Cadiz,Surfcasting,2023-08-22
C171,Cliente 171,Valencia,Vivo,2023-11-09
C172,Cliente 172,Alicante,Surfcasting,2023-06-28
C173,Cliente 173,Valencia,Jigging,2023-07-24
C174,Cliente 174,Alicante,Vivo,2023-07-04
C175,Cliente 175,Valencia,Jigging,2024-01-02
C176,Cliente 176,Gijon,Vivo,2023-06-21
C177,Cliente 177,Castellon,Eging,2023-05-12
C178,Cliente 178,Cadiz,Eging,2023-10-15
C179,Cliente 179,Alicante,Curri,2024-03-08
C180,Cliente 180,Valencia,Vivo,2023-06-03
C181,Cliente 181,Gijon,Jigging,2023-11-05
C182,Cliente 182,Valencia,Jigging,2023-06-16
C183,Cliente 183,Alicante,Vivo,2024-02-21
C184,Cliente 184,Cadiz,Surfcasting,2024-02-28
C185,Cliente 185,Santander,Curri,2023-08-29
C186,Cliente 186,Valencia,Vivo,2024-04-12
C187,Cliente 187,Gijon,Eging,2023-10-25
C188,Cliente 188,Alicante,Jigging,2023-07-24
C189,Cliente 189,Santander,Eging,2023-08-21
C190,Cliente 190,Castellon,Vivo,2023-01-05
C191,Cliente 191,Gijon,Surfcasting,2024-01-07
C192,Cliente 192,Castellon,Spinning,2023-11-28
C193,Cliente 193,Santander,Curri,2023-12-24
C194,Cliente 194,Santander,Surfcasting,2023-05-21
C195,Cliente 195,Alicante,Surfcasting,2023-12-20
C196,Cliente 196,Gijon,Curri,2023-04-30
C197,Cliente 197,Valencia,Curri,2024-03-17
C198,Cliente 198,Santander,Vivo,2023-10-24
C199,Cliente 199,Santander,Curri,2023-09-09
C200,Cliente 200,Cadiz,Surfcasting,2023-12-14
C201,Cliente 201,Santander,Surfcasting,2023-12-03
C202,Cliente 202,Santander,Eging,2023-06-30
C203,Cliente 203,Alicante,Surfcasting,2023-04-19
C204,Cliente 204,Gijon,Spinning,2024-03-11
C205,Cliente 205,Gijon,Curri,2024-02-21
C206,Cliente 206,Cadiz,Eging,2024-04-06
C207,Cliente 207,Cadiz,Surfcasting,2023-07-20
C208,Cliente 208,Valencia,Vivo,2023-08-15
C209,Cliente 209,Santander,Spinning,2023-11-16
C210,Cliente 210,Gijon,Jigging,2023-10-14
C211,Cliente 211,Valencia,Spinning,2024-03-18
C212,Cliente 212,Castellon,Eging,2023-07-18
C213,Cliente 213,Alicante,Eging,2023-09-07
C214,Cliente 214,Castellon,Vivo,2023-04-05
C215,Cliente 215,Cadiz,Eging,2023-05-09
C216,Cliente 216,Castellon,Surfcasting,2024-04-20
C217,Cliente 217,Valencia,Surfcasting,2023-05-10
C218,Cliente 218,Cadiz,Eging,2023-01-20
C219,Cliente 219,Alicante,Curri,2023-09-21
C220,Cliente 220,Castellon,Vivo,2023-08-15
C221,Cliente 221,Cadiz,Eging,2024-03-26
C222,Cliente 222,Cadiz,Vivo,2023-10-20
C223,Cliente 223,Gijon,Vivo,2023-07-31
C224,Cliente 224,Castellon,Surfcasting,2023-10-03
C225,Cliente 225,Castellon,Jigging,2024-05-03
C226,Cliente 226,Santander,Spinning,2023-01-27
C227,Cliente 227,Santander,Vivo,2023-02-03
C228,Cliente 228,Valencia,Jigging,2023-03-15
C229,Cliente 229,Cadiz,Spinning,2023-04-29
C230,Cliente 230,Gijon,Vivo,2023-12-23
C231,Cliente 231,Cadiz,Eging,2023-09-17
C232,Cliente 232,Castellon,Eging,2023-08-25
C233,Cliente 233,Santander,Surfcasting,2023-10-06
C234,Cliente 234,Valencia,Surfcasting,2023-05-31
C235,Cliente 235,Cadiz,Eging,2023-02-02
C236,Cliente 236,Gijon,Surfcasting,2023-06-09
C237,Cliente 237,Alicante,Eging,2023-01-16
C238,Cliente 238,Santander,Eging,2023-02-12
C239,Cliente 239,Cadiz,Curri,2023-07-12
C240,Cliente 240,Cadiz,Jigging,2023-04-08
C241,Cliente 241,Valencia,Eging,2023-01-18
C242,Cliente 242,Alicante,Surfcasting,2023-06-19
C243,Cliente 243,Santander,Jigging,2023-01-08
C244,Cliente 244,Santander,Jigging,2023-10-07
C245,Cliente 245,Valencia,Surfcasting,2024-03-18
C246,Cliente 246,Castellon,Eging,2024-04-24
C247,Cliente 247,Castellon,Eging,2023-04-11
C248,Cliente 248,Valencia,Spinning,2023-04-27
C249,Cliente 249,Cadiz,Surfcasting,2023-11-18
C250,Cliente 250,Alicante,Curri,2023-10-05
C251,Cliente 251,Cadiz,Vivo,2023-08-08
C252,Cliente 252,Castellon,Eging,2024-03-19
C253,Cliente 253,Valencia,Curri,2024-01-18
C254,Cliente 254,Valencia,Vivo,2024-01-27
C255,Cliente 255,Castellon,Vivo,2023-01-24
C256,Cliente 256,Cadiz,Jigging,2023-05-21
C257,Cliente 257,Cadiz,Surfcasting,2023-10-08
C258,Cliente 258,Cadiz,Vivo,2024-03-13
C259,Cliente 259,Castellon,Eging,2023-06-12
C260,Cliente 260,Cadiz,Surfcasting,2023-02-20
C261,Cliente 261,Castellon,Jigging,2023-09-20
C262,Cliente 262,Castellon,Surfcasting,2023-11-09
C263,Cliente 263,Gijon,Jigging,2023-01-16
C264,Cliente 264,Cadiz,Surfcasting,2023-03-06
C265,Cliente 265,Cadiz,Eging,2023-08-24
C266,Cliente 266,Santander,Spinning,2023-08-04
C267,Cliente 267,Gijon,Curri,2023-09-20
C268,Cliente 268,Alicante,Vivo,2023-03-21
C269,Cliente 269,Gijon,Vivo,2023-11-21
C270,Cliente 270,Cadiz,Jigging,2023-06-04
C271,Cliente 271,Valencia,Jigging,2023-12-10
C272,Cliente 272,Cadiz,Curri,2023-11-06
C273,Cliente 273,Alicante,Jigging,2023-08-14
C274,Cliente 274,Castellon,Vivo,2023-04-20
C275,Cliente 275,Castellon,Curri,2024-03-09
C276,Cliente 276,Castellon,Surfcasting,2023-07-09
C277,Cliente 277,Alicante,Spinning,2023-11-09
C278,Cliente 278,Santander,Jigging,2023-11-09
C279,Cliente 279,Cadiz,Surfcasting,2023-09-25
C280,Cliente 280,Alicante,Jigging,2023-03-15
C281,Cliente 281,Santander,Jigging,2023-05-18
C282,Cliente 282,Santander,Spinning,2023-05-02
C283,Cliente 283,Santander,Curri,2023-03-02
C284,Cliente 284,Castellon,Vivo,2023-05-02
C285,Cliente 285,Santander,Vivo,2024-03-18
C286,Cliente 286,Valencia,Jigging,2023-08-07
C287,Cliente 287,Valencia,Curri,2023-03-04
C288,Cliente 288,Cadiz,Curri,2024-01-11
C289,Cliente 289,Alicante,Jigging,2023-10-12
C290,Cliente 290,Alicante,Eging,2023-03-13
C291,Cliente 291,Valencia,Jigging,2023-05-29
C292,Cliente 292,Castellon,Curri,2023-04-02
C293,Cliente 293,Cadiz,Jigging,2024-01-19
C294,Cliente 294,Cadiz,Surfcasting,2023-01-18
C295,Cliente 295,Alicante,Spinning,2023-09-14
C296,Cliente 296,Alicante,Eging,2023-10-08
C297,Cliente 297,Santander,Surfcasting,2023-10-22
C298,Cliente 298,Santander,Eging,2023-03-08
C299,Cliente 299,Santander,Spinning,2023-12-27
C300,Cliente 300,Valencia,Surfcasting,2023-01-28
