id_captura,fecha,id_cliente,especie,peso,articulo_usado,zona
CAP-107,2024-08-19,C072,Palometon,10.14,A0014,Ria
CAP-108,2024-10-25,C225,Lubina,3.84,A0018,Playa
CAP-109,2024-10-16,C225,Lubina,0.71,A0018,Ria
CAP-110,2024-10-25,C225,Serviola,1.44,A0018,Playa
CAP-111,2024-11-23,C225,Lubina,3.32,A0018,Playa
CAP-112,2024-03-09,C006,Herrera,0.28,A0022,Espigon
CAP-113,2024-03-24,C006,Mabra,0.88,A0022,Playa
CAP-114,2024-02-26,C001,Lubina,1.52,A0014,Playa
CAP-115,2024-02-29,C001,Baila,0.71,A0014,Alta Mar
CAP-116,2024-12-18,C047,Calamar,0.91,A0005,Alta Mar
CAP-117,2024-08-10,C199,Marlin Blanco,38.98,A0026,Playa
CAP-118,2024-08-23,C199,Bonito del Norte,10.86,A0026,Playa
CAP-119,2024-08-28,C199,Llampuga,7.94,A0026,Playa
CAP-120,2024-06-07,C121,Denton,5.02,A0032,Espigon
CAP-121,2024-06-17,C121,Serviola,1.78,A0032,Alta Mar
CAP-122,2024-06-28,C121,Denton,2.74,A0032,Playa
CAP-123,2024-02-29,C226,Lubina,2.8,A0010,Espigon
CAP-124,2024-05-14,C233,Mabra,0.53,A0021,Playa
CAP-125,2024-12-12,C223,Serviola,0.82,A0033,Espigon
CAP-126,2025-01-10,C223,Denton,7.72,A0033,Espigon
CAP-127,2024-06-23,C079,Baila,1.12,A0018,Alta Mar
CAP-128,2024-12-24,C237,Calamar,0.26,A0003,Alta Mar
CAP-129,2024-12-16,C237,Calamar,1.36,A0003,Ria
CAP-130,2024-12-30,C237,Calamar,0.53,A0003,Espigon
CAP-131,2025-01-23,C237,Pulpo,4.38,A0003,Espigon
CAP-132,2024-04-22,C080,Lubina,4.58,A0013,Espigon
CAP-133,2024-05-07,C080,Anjova,3.97,A0013,Ria
CAP-134,2024-05-11,C080,Espeton,1.94,A0013,Ria
CAP-135,2024-07-18,C171,Serviola,1.53,A0033,Playa
CAP-136,2024-12-05,C131,Sargo,0.4,A0022,Alta Mar
CAP-137,2024-12-12,C131,Sargo,0.77,A0022,Espigon
CAP-138,2024-12-19,C131,Herrera,0.43,A0022,Espigon
CAP-139,2024-12-30,C131,Herrera,0.68,A0022,Espigon
CAP-140,2024-12-17,C131,Herrera,0.73,A0022,Playa
CAP-141,2024-01-29,C190,Calamar,1.34,A0005,Ria
CAP-142,2024-01-21,C190,Calamar,0.76,A0005,Espigon
CAP-143,2024-01-30,C190,Calamar,0.32,A0005,Alta Mar
CAP-144,2024-06-19,C261,Cabrilla,1.95,A0031,Alta Mar
CAP-145,2024-06-21,C261,Cabrilla,1.3,A0031,Ria
CAP-146,2024-09-30,C272,Llampuga,5.76,A0027,Playa
CAP-147,2024-10-24,C272,Bonito del Norte,10.36,A0027,Espigon
CAP-148,2024-09-21,C169,Mero,11.35,A0032,Ria
CAP-149,2024-05-18,C158,Espeton,0.72,A0012,Espigon
CAP-150,2024-06-09,C158,Espeton,1.23,A0012,Espigon
CAP-151,2024-12-19,C064,Anjova,2.55,A0016,Playa
CAP-152,2024-12-15,C064,Palometon,14.51,A0016,Ria
CAP-153,2024-10-27,C049,Pulpo,1.97,A0006,Alta Mar
CAP-154,2025-01-03,C151,Serviola,0.89,A0033,Espigon
CAP-155,2024-11-26,C111,Lubina,2.81,A0013,Espigon
CAP-156,2024-12-09,C111,Anjova,5.33,A0013,Espigon
CAP-157,2024-11-30,C180,Serviola,1.86,A0033,Ria
CAP-158,2024-12-22,C180,Mero,9.49,A0033,Espigon
CAP-159,2025-01-04,C180,Denton,2.85,A0033,Alta Mar
CAP-160,2025-01-10,C180,Denton,2.86,A0033,Playa
CAP-161,2024-09-06,C151,Denton,1.54,A0032,Alta Mar
CAP-162,2024-05-18,C289,Mero,9.78,A0030,Alta Mar
CAP-163,2024-05-29,C289,Pargo,0.7,A0030,Playa
CAP-164,2024-06-07,C289,Sama,6.05,A0030,Espigon
CAP-165,2024-06-15,C289,Sama,8.47,A0030,Playa
CAP-166,2024-06-27,C289,Sama,3.6,A0030,Espigon
CAP-167,2024-11-02,C001,Mero,3.67,A0033,Espigon
CAP-168,2024-12-08,C001,Denton,4.58,A0033,Alta Mar
CAP-169,2024-12-10,C001,Denton,1.54,A0033,Ria
CAP-170,2024-02-02,C182,Denton,2.51,A0031,Espigon
CAP-171,2024-02-13,C182,Cabrilla,1.36,A0031,Ria
CAP-172,2024-03-10,C068,Mero,14.82,A0032,Espigon
CAP-173,2024-03-05,C068,Denton,3.2,A0032,Espigon
CAP-174,2024-01-12,C215,Sepia,0.7,A0006,Playa
CAP-175,2024-01-25,C215,Calamar,0.43,A0006,Espigon
CAP-176,2024-02-05,C215,Calamar,1.14,A0006,Playa
CAP-177,2024-01-16,C215,Calamar,1.11,A0006,Ria
CAP-178,2024-02-02,C215,Calamar,0.74,A0006,Ria
CAP-179,2024-03-24,C108,Denton,3.22,A0030,Ria
CAP-180,2024-04-20,C108,Gallineta,1.36,A0030,Playa
CAP-181,2024-12-08,C261,Lubina,2.16,A0012,Playa
CAP-182,2024-11-25,C261,Anjova,4.32,A0012,Ria
CAP-183,2024-03-08,C169,Denton,6.63,A0033,Espigon
CAP-184,2024-02-06,C060,Pulpo,4.78,A0003,Ria
CAP-185,2024-02-16,C060,Pulpo,1.84,A0003,Playa
CAP-186,2024-03-18,C060,Calamar,1.05,A0003,Espigon
CAP-187,2024-03-12,C060,Calamar,0.27,A0003,Playa
CAP-188,2024-11-04,C059,Sargo,0.8,A0022,Alta Mar
CAP-189,2024-11-07,C059,Sargo,0.58,A0022,Ria
CAP-190,2024-11-16,C059,Herrera,0.63,A0022,Ria
CAP-191,2024-11-17,C059,Herrera,0.39,A0022,Playa
CAP-192,2024-12-03,C059,Mabra,1.48,A0022,Espigon
CAP-193,2024-11-11,C059,Mabra,1.26,A0022,Espigon
CAP-194,2024-09-15,C203,Mabra,1.23,A0022,Alta Mar
CAP-195,2024-08-29,C203,Mabra,0.82,A0022,Alta Mar
CAP-196,2024-09-17,C203,Mabra,1.79,A0022,Playa
CAP-197,2024-09-02,C203,Lubina,1.91,A0022,Espigon
CAP-198,2024-10-20,C161,Sama,7.04,A0030,Ria
CAP-199,2024-09-09,C173,Cabrilla,1.15,A0030,Ria
CAP-200,2024-07-18,C089,Lubina,2.99,A0017,Playa
CAP-201,2024-07-23,C089,Jurel,0.75,A0017,Espigon
CAP-202,2024-08-07,C089,Jurel,1.07,A0017,Ria
CAP-203,2025-02-02,C068,Denton,7.68,A0032,Ria
CAP-204,2024-02-09,C080,Denton,4.57,A0030,Alta Mar
CAP-205,2024-02-20,C080,Sama,7.06,A0030,Ria
CAP-206,2024-02-12,C080,Sama,8.13,A0030,Alta Mar
CAP-207,2024-03-04,C080,Cabrilla,0.96,A0030,Ria
CAP-208,2024-07-09,C240,Pargo,1.84,A0031,Espigon
CAP-209,2024-07-25,C240,Pargo,1.57,A0031,Alta Mar
CAP-210,2024-07-25,C240,San Pedro,1.23,A0031,Playa
CAP-211,2024-03-19,C021,Denton,6.76,A0033,Playa
CAP-212,2024-08-17,C092,Bacoreta,1.75,A0026,Ria
CAP-213,2024-05-15,C211,Baila,0.51,A0013,Playa
CAP-214,2024-07-20,C175,Cabrilla,1.52,A0030,Alta Mar
CAP-215,2024-07-20,C001,Lubina,1.9,A0010,Playa
CAP-216,2024-02-29,C110,Calamar,1.48,A0005,Ria
CAP-217,2024-04-02,C110,Calamar,0.57,A0005,Espigon
CAP-218,2024-11-13,C062,Sama,5.95,A0031,Espigon
CAP-219,2024-09-08,C002,Llampuga,6.18,A0027,Playa
CAP-220,2024-09-07,C002,Llampuga,2.81,A0027,Espigon
CAP-221,2024-12-02,C238,Calamar,1.17,A0006,Playa
CAP-222,2024-12-09,C238,Sepia,0.54,A0006,Ria
CAP-223,2025-01-23,C165,Serviola,1.63,A0032,Playa
CAP-224,2025-01-16,C165,Serviola,1.14,A0032,Espigon
CAP-225,2024-05-31,C181,Lubina,4.88,A0012,Playa
CAP-226,2024-05-31,C181,Lubina,2.95,A0012,Espigon
CAP-227,2024-06-20,C181,Espeton,1.03,A0012,Ria
CAP-228,2024-07-09,C181,Lubina,4.15,A0012,Ria
CAP-229,2024-07-04,C073,Rodaballo,1.97,A0021,Playa
CAP-230,2024-07-12,C073,Sargo,1.15,A0021,Playa
CAP-231,2024-12-04,C189,Sepia,1.51,A0005,Espigon
CAP-232,2024-11-18,C189,Sepia,1.67,A0005,Playa
CAP-233,2024-07-17,C071,Serviola,0.9,A0032,Playa
CAP-234,2024-11-04,C252,Lubina,2.2,A0016,Ria
CAP-235,2024-11-13,C252,Palometon,7.87,A0016,Ria
CAP-236,2024-10-01,C261,Denton,2.85,A0031,Alta Mar
CAP-237,2024-06-13,C088,Mero,6.43,A0033,Alta Mar
CAP-238,2024-06-01,C088,Mero,9.51,A0033,Playa
CAP-239,2024-05-23,C160,Herrera,0.48,A0021,Espigon
CAP-240,2024-05-28,C160,Mabra,1.13,A0021,Playa
CAP-241,2024-06-12,C078,Herrera,0.69,A0021,Playa
CAP-242,2024-06-09,C078,Dorada,2.14,A0021,Alta Mar
CAP-243,2024-05-29,C078,Dorada,0.59,A0021,Playa
CAP-244,2024-10-14,C184,Baila,0.69,A0018,Alta Mar
CAP-245,2024-06-07,C181,Cabrilla,1.78,A0031,Ria
CAP-246,2024-06-15,C181,Pargo,1.84,A0031,Playa
CAP-247,2024-07-03,C181,Pargo,0.88,A0031,Alta Mar
CAP-248,2024-09-02,C065,Llampuga,5.72,A0028,Espigon
CAP-249,2024-08-24,C065,Bacoreta,1.77,A0028,Playa
CAP-250,2025-01-07,C109,Mero,14.01,A0032,Alta Mar
CAP-251,2025-01-04,C241,Calamar,0.99,A0005,Espigon
CAP-252,2024-12-06,C231,Calamar,0.36,A0005,Ria
CAP-253,2024-08-10,C051,Llampuga,6.35,A0028,Alta Mar
CAP-254,2024-08-16,C051,Bonito del Norte,11.13,A0028,Alta Mar
CAP-255,2024-09-23,C135,Llampuga,5.09,A0027,Ria
CAP-256,2024-10-03,C135,Bacoreta,1.29,A0027,Espigon
CAP-257,2024-10-07,C135,Llampuga,7.93,A0027,Alta Mar
CAP-258,2024-12-06,C298,Calamar,0.37,A0003,Alta Mar
CAP-259,2024-12-07,C298,Calamar,0.98,A0003,Ria
CAP-260,2024-08-28,C104,Serviola,1.17,A0032,Alta Mar
CAP-261,2024-08-16,C104,Denton,3.6,A0032,Alta Mar
CAP-262,2024-08-21,C104,Serviola,1.27,A0032,Alta Mar
CAP-263,2024-12-01,C067,Lubina,4.69,A0014,Espigon
CAP-264,2024-12-23,C067,Lubina,2.46,A0014,Alta Mar
CAP-265,2024-03-05,C240,Pargo,1.34,A0031,Ria
CAP-266,2024-10-15,C113,Bonito del Norte,12.4,A0026,Alta Mar
CAP-267,2024-10-21,C113,Llampuga,3.17,A0026,Playa
CAP-268,2024-11-07,C113,Melva,1.73,A0026,Espigon
CAP-269,2024-04-15,C144,Denton,3.77,A0033,Alta Mar
CAP-270,2024-11-22,C268,Calamar,1.29,A0001,Espigon
CAP-271,2024-12-01,C268,Calamar,1.06,A0001,Playa
CAP-272,2024-01-04,C177,Pulpo,2.29,A0003,Playa
CAP-273,2024-01-26,C177,Pulpo,3.44,A0003,Ria
CAP-274,2024-12-31,C051,Lubina,1.3,A0017,Espigon
CAP-275,2025-01-09,C051,Serviola,0.6,A0017,Espigon
CAP-276,2025-01-12,C051,Palometon,8.45,A0017,Espigon
CAP-277,2024-05-28,C241,Lubina,1.7,A0012,Ria
CAP-278,2024-10-31,C077,Mabra,1.71,A0022,Alta Mar
CAP-279,2024-11-03,C077,Mabra,1.22,A0022,Espigon
CAP-280,2024-11-06,C077,Mabra,1.99,A0022,Playa
CAP-281,2024-11-15,C077,Dorada,0.78,A0022,Espigon
CAP-282,2024-11-24,C077,Dorada,0.63,A0022,Playa
CAP-283,2024-11-26,C093,Denton,2.04,A0033,Espigon
CAP-284,2024-12-08,C093,Serviola,0.55,A0033,Playa
CAP-285,2025-01-04,C093,Denton,5.19,A0033,Espigon
CAP-286,2024-12-28,C093,Denton,4.26,A0033,Ria
CAP-287,2024-04-22,C299,Baila,0.8,A0017,Espigon
CAP-288,2024-04-28,C299,Lubina,3.25,A0017,Ria
CAP-289,2024-05-01,C299,Baila,0.87,A0017,Ria
CAP-290,2024-08-21,C249,Bonito del Norte,7.13,A0027,Ria
CAP-291,2024-09-10,C249,Marlin Blanco,26.97,A0027,Alta Mar
CAP-292,2024-08-29,C249,Bacoreta,2.0,A0027,Ria
CAP-293,2024-09-22,C249,Bonito del Norte,10.8,A0027,Alta Mar
CAP-294,2025-01-02,C049,Calamar,0.57,A0006,Espigon
CAP-295,2024-06-29,C021,Mero,14.33,A0032,Ria
CAP-296,2024-07-09,C021,Denton,3.76,A0032,Playa
CAP-297,2024-06-23,C228,Lubina,3.8,A0015,Playa
CAP-298,2025-01-11,C141,Calamar,1.13,A0003,Alta Mar
CAP-299,2024-12-24,C153,Calamar,0.67,A0004,Playa
CAP-300,2024-12-18,C153,Calamar,0.36,A0004,Playa
CAP-301,2024-12-18,C153,Pulpo,4.5,A0004,Alta Mar
CAP-302,2024-04-25,C299,Anjova,5.21,A0015,Espigon
CAP-303,2024-04-06,C263,Sama,5.32,A0030,Ria
CAP-304,2024-04-27,C263,Denton,3.39,A0030,Playa
CAP-305,2024-04-26,C263,Cabrilla,1.73,A0030,Espigon
CAP-306,2024-07-01,C004,Melva,1.06,A0027,Playa
CAP-307,2024-07-03,C004,Bonito del Norte,12.5,A0027,Alta Mar
CAP-308,2024-07-10,C004,Llampuga,4.41,A0027,Playa
CAP-309,2024-07-06,C004,Bacoreta,1.86,A0027,Espigon
CAP-310,2024-10-19,C277,Serviola,0.91,A0017,Espigon
CAP-311,2024-11-09,C277,Lubina,2.16,A0017,Espigon
CAP-312,2024-11-18,C277,Anjova,5.63,A0017,Alta Mar
CAP-313,2024-12-06,C277,Lubina,3.52,A0017,Espigon
CAP-314,2024-08-23,C137,Mabra,1.49,A0022,Espigon
CAP-315,2024-04-11,C277,Lubina,2.11,A0017,Ria
CAP-316,2024-03-25,C277,Lubina,4.56,A0017,Alta Mar
CAP-317,2024-12-15,C259,Sepia,0.3,A0005,Ria
CAP-318,2025-01-02,C259,Calamar,0.99,A0005,Alta Mar
CAP-319,2024-12-15,C259,Calamar,1.06,A0005,Alta Mar
CAP-320,2025-01-05,C259,Sepia,0.42,A0005,Ria
CAP-321,2025-01-08,C259,Sepia,0.85,A0005,Ria
CAP-322,2024-06-12,C101,Denton,1.59,A0033,Playa
CAP-323,2024-06-21,C101,Serviola,1.8,A0033,Alta Mar
CAP-324,2024-01-21,C099,Sama,2.24,A0031,Playa
CAP-325,2024-07-22,C024,Serviola,1.1,A0033,Espigon
CAP-326,2024-10-11,C100,Calamar,0.72,A0005,Espigon
CAP-327,2024-10-09,C100,Calamar,1.44,A0005,Ria
CAP-328,2024-10-29,C100,Calamar,0.8,A0005,Espigon
CAP-329,2024-11-05,C100,Calamar,1.34,A0005,Ria
CAP-330,2024-11-02,C100,Calamar,0.29,A0005,Espigon
CAP-331,2024-11-05,C100,Calamar,1.19,A0005,Espigon
CAP-332,2024-07-01,C065,Llampuga,2.99,A0027,Alta Mar
CAP-333,2024-03-07,C006,Sargo,0.67,A0021,Playa
CAP-334,2024-03-07,C006,Sargo,0.5,A0021,Ria
CAP-335,2024-03-20,C006,Sargo,0.34,A0021,Espigon
CAP-336,2024-03-07,C006,Herrera,0.73,A0021,Playa
CAP-337,2024-03-14,C006,Herrera,0.42,A0021,Ria
CAP-338,2024-04-09,C006,Herrera,0.34,A0021,Espigon
CAP-339,2024-01-22,C041,Mero,14.7,A0032,Ria
CAP-340,2024-01-29,C041,Denton,5.93,A0032,Playa
CAP-341,2024-02-13,C041,Mero,9.33,A0032,Playa
CAP-342,2024-10-11,C261,Cabrilla,1.88,A0030,Alta Mar
CAP-343,2024-09-27,C261,Cabrilla,1.36,A0030,Playa
CAP-344,2024-03-04,C021,Mero,11.12,A0032,Ria
CAP-345,2024-03-29,C021,Denton,5.72,A0032,Espigon
CAP-346,2024-09-12,C018,Serviola,1.31,A0033,Playa
CAP-347,2024-11-24,C149,Denton,6.02,A0032,Ria
CAP-348,2024-03-29,C088,Mero,8.05,A0033,Espigon
CAP-349,2024-10-16,C266,Lubina,2.34,A0014,Espigon
CAP-350,2024-10-19,C266,Anjova,6.92,A0014,Espigon
CAP-351,2024-10-15,C266,Jurel,1.25,A0014,Alta Mar
CAP-352,2025-01-30,C220,Sepia,1.98,A0007,Ria
CAP-353,2024-03-09,C278,Pargo,1.49,A0030,Playa
CAP-354,2024-03-05,C278,Pargo,1.41,A0030,Espigon
CAP-355,2024-03-25,C278,Denton,1.87,A0030,Alta Mar
CAP-356,2024-04-03,C278,Cabrilla,1.76,A0030,Alta Mar
CAP-357,2024-10-06,C294,Bonito del Norte,4.52,A0027,Espigon
CAP-358,2024-10-31,C294,Llampuga,5.79,A0027,Playa
CAP-359,2024-04-11,C108,Mero,4.17,A0031,Alta Mar
CAP-360,2024-04-19,C108,Sama,9.82,A0031,Espigon
CAP-361,2024-04-04,C108,Sama,2.65,A0031,Ria
CAP-362,2024-01-05,C298,Calamar,0.57,A0004,Alta Mar
CAP-363,2024-03-01,C092,Calamar,0.43,A0003,Ria
CAP-364,2024-03-04,C169,Mero,11.11,A0032,Espigon
CAP-365,2024-09-02,C250,Llampuga,6.57,A0027,Alta Mar
CAP-366,2024-08-26,C250,Bacoreta,1.69,A0027,Ria
CAP-367,2024-08-24,C250,Melva,0.62,A0027,Ria
CAP-368,2024-09-19,C250,Bacoreta,1.39,A0027,Espigon
CAP-369,2024-09-29,C250,Llampuga,8.36,A0027,Alta Mar
CAP-370,2024-01-11,C194,Herrera,0.54,A0021,Alta Mar
CAP-371,2024-01-30,C194,Mabra,0.59,A0021,Alta Mar
CAP-372,2024-09-27,C208,Serviola,1.65,A0032,Alta Mar
CAP-373,2024-03-11,C114,San Pedro,1.12,A0031,Alta Mar
CAP-374,2024-07-09,C023,Dorada,1.25,A0022,Espigon
CAP-375,2024-07-19,C023,Mabra,1.84,A0022,Ria
CAP-376,2024-07-25,C023,Sargo,0.81,A0022,Espigon
CAP-377,2024-07-28,C023,Sargo,1.1,A0022,Ria
CAP-378,2024-07-17,C023,Herrera,0.77,A0022,Playa
CAP-379,2024-04-24,C174,Serviola,0.5,A0033,Playa
CAP-380,2024-04-30,C174,Serviola,1.05,A0033,Alta Mar
CAP-381,2024-03-04,C270,Cabrilla,1.27,A0031,Playa
CAP-382,2024-02-04,C221,Calamar,1.1,A0003,Playa
CAP-383,2024-05-13,C254,Mero,9.58,A0033,Alta Mar
CAP-384,2024-06-03,C254,Denton,2.3,A0033,Alta Mar
CAP-385,2024-03-14,C181,San Pedro,1.41,A0030,Ria
CAP-386,2024-12-27,C155,Denton,6.02,A0033,Alta Mar
CAP-387,2024-12-24,C155,Denton,7.47,A0033,Playa
CAP-388,2024-11-22,C215,Calamar,0.78,A0001,Alta Mar
CAP-389,2024-12-13,C215,Calamar,1.36,A0001,Ria
CAP-390,2024-12-06,C215,Calamar,0.59,A0001,Playa
CAP-391,2024-12-18,C215,Calamar,0.57,A0001,Alta Mar
CAP-392,2024-12-01,C215,Calamar,1.34,A0001,Ria
CAP-393,2024-12-08,C215,Calamar,0.5,A0001,Espigon
CAP-394,2024-12-11,C215,Calamar,0.28,A0001,Alta Mar
CAP-395,2024-02-25,C090,Mero,5.57,A0030,Ria
CAP-396,2024-02-12,C090,Pargo,0.62,A0030,Playa
CAP-397,2024-02-26,C090,Denton,3.67,A0030,Playa
CAP-398,2024-03-16,C090,San Pedro,0.57,A0030,Ria
CAP-399,2024-06-23,C096,Llampuga,4.88,A0027,Alta Mar
CAP-400,2024-07-19,C096,Bonito del Norte,13.91,A0027,Alta Mar
CAP-401,2024-07-28,C096,Llampuga,5.34,A0027,Alta Mar
CAP-402,2024-05-31,C291,Sama,3.98,A0030,Espigon
CAP-403,2024-06-15,C291,Sama,9.54,A0030,Playa
CAP-404,2024-05-26,C291,San Pedro,2.03,A0030,Ria
CAP-405,2024-06-28,C291,San Pedro,1.04,A0030,Playa
CAP-406,2025-01-25,C178,Calamar,1.39,A0007,Ria
CAP-407,2025-01-16,C178,Calamar,0.29,A0007,Ria
