id_ticket,fecha,id_cliente,id_articulo,cantidad,total
T-00090,2024-12-10,C237,A0003,2,23.0
T-00091,2024-04-13,C080,A0013,3,32.0
T-00092,2024-06-18,C171,A0033,3,9.0
T-00093,2024-11-24,C131,A0022,3,8.5
T-00094,2024-07-24,C058,A0033,3,9.0
T-00095,2024-02-27,C257,A0025,2,140.0
T-00096,2024-01-03,C190,A0005,3,14.5
T-00097,2024-10-02,C114,A0031,3,12.0
T-00098,2024-05-23,C261,A0031,3,12.0
T-00099,2024-09-28,C272,A0027,3,26.0
T-00100,2024-08-01,C202,A0019,2,190.0
T-00101,2024-01-21,C156,A0003,1,23.0
T-00102,2024-09-23,C137,A0025,1,140.0
T-00103,2024-08-27,C169,A0032,1,9.0
T-00104,2024-05-14,C158,A0012,2,13.5
T-00105,2024-08-23,C195,A0029,2,850.0
T-00106,2024-11-27,C064,A0016,2,19.0
T-00107,2024-07-27,C071,A0029,2,850.0
T-00108,2024-10-17,C049,A0006,2,14.5
T-00109,2024-12-17,C151,A0033,2,9.0
T-00110,2024-10-12,C241,A0008,3,155.0
T-00111,2024-11-20,C111,A0013,3,32.0
T-00112,2024-11-17,C180,A0033,1,9.0
T-00113,2024-08-14,C151,A0032,3,9.0
T-00114,2024-05-02,C289,A0030,1,12.0
T-00115,2024-10-19,C001,A0033,2,9.0
T-00116,2024-10-19,C232,A0006,2,14.5
T-00117,2024-10-26,C156,A0008,3,155.0
T-00118,2024-01-10,C182,A0031,2,12.0
T-00119,2024-02-18,C068,A0032,2,9.0
T-00120,2024-01-01,C215,A0006,2,14.5
T-00121,2024-03-18,C108,A0030,3,12.0
T-00122,2024-11-17,C261,A0012,2,13.5
T-00123,2024-02-25,C169,A0033,2,9.0
T-00124,2024-09-28,C084,A0025,1,140.0
T-00125,2024-02-04,C060,A0003,1,23.0
T-00126,2024-10-19,C059,A0022,1,8.5
T-00127,2024-08-23,C203,A0022,1,8.5
T-00128,2024-09-09,C161,A0030,1,12.0
T-00129,2024-08-19,C173,A0030,2,12.0
T-00130,2024-05-22,C157,A0020,2,190.0
T-00131,2024-07-03,C089,A0017,3,9.5
T-00132,2024-12-27,C068,A0032,3,9.0
T-00133,2024-06-10,C058,A0024,1,2.5
T-00134,2024-01-20,C080,A0030,2,12.0
T-00135,2024-06-18,C240,A0031,3,12.0
T-00136,2024-10-15,C026,A0007,3,9.0
T-00137,2024-02-21,C021,A0033,3,9.0
T-00138,2024-07-26,C092,A0026,1,26.0
T-00139,2024-04-25,C211,A0013,3,32.0
T-00140,2024-07-04,C175,A0030,1,12.0
T-00141,2024-06-24,C001,A0010,1,13.5
T-00142,2024-02-27,C110,A0005,3,14.5
T-00143,2024-12-24,C050,A0024,1,2.5
T-00144,2024-10-10,C062,A0031,3,12.0
T-00145,2024-08-13,C002,A0027,2,26.0
T-00146,2024-11-06,C238,A0006,1,14.5
T-00147,2024-12-21,C165,A0032,2,9.0
T-00148,2024-05-19,C181,A0012,2,13.5
T-00149,2024-06-06,C073,A0021,1,6.5
T-00150,2024-10-05,C118,A0024,1,2.5
T-00151,2024-11-04,C189,A0005,3,14.5
T-00152,2024-08-19,C092,A0029,1,850.0
T-00153,2024-08-06,C208,A0032,2,9.0
T-00154,2024-06-25,C071,A0032,3,9.0
T-00155,2024-10-23,C252,A0016,1,19.0
T-00156,2024-09-06,C261,A0031,1,12.0
T-00157,2024-11-09,C184,A0004,1,14.5
T-00158,2024-03-22,C236,A0023,2,2.5
T-00159,2024-05-19,C088,A0033,3,9.0
T-00160,2024-05-19,C160,A0021,1,6.5
T-00161,2024-05-14,C078,A0021,2,6.5
T-00162,2024-10-01,C184,A0018,3,9.5
T-00163,2024-05-22,C181,A0031,2,12.0
T-00164,2024-08-04,C065,A0028,1,22.0
T-00165,2024-12-19,C109,A0032,2,9.0
T-00166,2024-07-19,C160,A0023,3,2.5
T-00167,2024-12-15,C241,A0005,3,14.5
T-00168,2024-11-15,C231,A0005,3,14.5
T-00169,2024-07-10,C051,A0028,1,22.0
T-00170,2024-09-10,C135,A0027,2,26.0
T-00171,2024-11-10,C298,A0003,3,23.0
T-00172,2024-08-03,C104,A0032,3,9.0
T-00173,2024-11-21,C067,A0014,1,32.0
T-00174,2024-02-07,C240,A0031,1,12.0
T-00175,2024-09-24,C113,A0026,3,26.0
T-00176,2024-06-27,C054,A0029,3,850.0
T-00177,2024-11-01,C083,A0024,3,2.5
T-00178,2024-08-05,C073,A0023,2,2.5
T-00179,2024-04-01,C144,A0033,2,9.0
T-00180,2024-11-07,C268,A0001,2,23.0
T-00181,2024-01-02,C177,A0003,1,23.0
T-00182,2024-06-18,C102,A0030,3,12.0
T-00183,2024-12-12,C051,A0017,2,9.5
T-00184,2024-05-01,C241,A0012,3,13.5
T-00185,2024-09-26,C288,A0026,3,26.0
T-00186,2024-10-26,C077,A0022,3,8.5
T-00187,2024-11-23,C093,A0033,2,9.0
T-00188,2024-11-19,C045,A0023,3,2.5
T-00189,2024-04-16,C299,A0017,2,9.5
T-00190,2024-08-13,C249,A0027,1,26.0
T-00191,2024-12-11,C049,A0006,2,14.5
T-00192,2024-07-11,C181,A0032,1,9.0
T-00193,2024-06-19,C021,A0032,2,9.0
T-00194,2024-05-18,C228,A0015,3,19.0
T-00195,2024-12-13,C141,A0003,2,23.0
T-00196,2024-07-25,C071,A0029,1,850.0
T-00197,2024-11-07,C145,A0008,3,155.0
T-00198,2024-02-12,C072,A0009,3,155.0
T-00199,2024-11-27,C153,A0004,2,14.5
T-00200,2024-04-14,C299,A0015,1,19.0
T-00201,2024-03-25,C263,A0030,2,12.0
T-00202,2024-06-04,C004,A0027,3,26.0
T-00203,2024-12-07,C039,A0024,1,2.5
T-00204,2024-10-06,C202,A0003,1,23.0
T-00205,2024-11-17,C104,A0032,2,9.0
T-00206,2024-10-10,C277,A0017,3,9.5
T-00207,2024-08-22,C137,A0022,2,8.5
T-00208,2024-05-26,C126,A0023,2,2.5
T-00209,2024-03-14,C277,A0017,2,9.5
T-00210,2024-12-03,C259,A0005,1,14.5
T-00211,2024-04-17,C245,A0031,2,12.0
T-00212,2024-05-26,C101,A0033,1,9.0
T-00213,2024-01-04,C099,A0031,2,12.0
T-00214,2024-12-20,C120,A0009,2,155.0
T-00215,2024-02-04,C026,A0008,3,155.0
T-00216,2024-07-02,C024,A0033,3,9.0
T-00217,2024-06-04,C219,A0029,2,850.0
T-00218,2024-12-08,C057,A0009,1,155.0
T-00219,2024-10-06,C100,A0005,3,14.5
T-00220,2024-01-14,C246,A0007,1,9.0
T-00221,2024-06-17,C065,A0027,3,26.0
T-00222,2024-02-19,C006,A0021,2,6.5
T-00223,2024-01-20,C041,A0032,3,9.0
T-00224,2024-07-13,C073,A0025,2,140.0
T-00225,2024-09-12,C261,A0030,2,12.0
T-00226,2024-02-16,C221,A0002,1,23.0
T-00227,2024-09-18,C242,A0024,2,2.5
T-00228,2024-08-03,C010,A0031,1,12.0
T-00229,2024-01-27,C057,A0009,2,155.0
T-00230,2024-04-08,C058,A0020,2,190.0
T-00231,2024-03-02,C021,A0032,2,9.0
T-00232,2024-06-07,C216,A0025,3,140.0
T-00233,2024-08-18,C018,A0033,1,9.0
T-00234,2024-12-04,C279,A0025,3,140.0
T-00235,2024-11-07,C149,A0032,3,9.0
T-00236,2024-01-21,C155,A0032,2,9.0
T-00237,2024-03-18,C088,A0033,1,9.0
T-00238,2024-09-27,C266,A0014,2,32.0
T-00239,2024-12-05,C220,A0007,2,9.0
T-00240,2024-02-16,C278,A0030,1,12.0
T-00241,2024-09-27,C294,A0027,2,26.0
T-00242,2024-09-10,C295,A0011,1,13.5
T-00243,2024-01-26,C144,A0033,1,9.0
T-00244,2024-03-14,C108,A0031,3,12.0
T-00245,2024-07-01,C092,A0029,1,850.0
T-00246,2024-05-13,C218,A0015,1,19.0
T-00247,2024-01-01,C298,A0004,3,14.5
T-00248,2024-10-28,C297,A0024,3,2.5
T-00249,2024-07-09,C199,A0026,1,26.0
T-00250,2024-07-27,C163,A0029,1,850.0
T-00251,2024-02-11,C092,A0003,2,23.0
T-00252,2024-02-17,C169,A0032,3,9.0
T-00253,2024-07-08,C233,A0024,1,2.5
T-00254,2024-08-03,C292,A0027,2,26.0
T-00255,2024-07-01,C253,A0029,1,850.0
T-00256,2024-08-18,C118,A0025,3,140.0
T-00257,2024-08-05,C250,A0027,3,26.0
T-00258,2024-01-04,C194,A0021,3,6.5
T-00259,2024-09-16,C208,A0032,2,9.0
T-00260,2024-03-07,C114,A0031,1,12.0
T-00261,2024-09-13,C020,A0029,2,850.0
T-00262,2024-06-23,C023,A0022,1,8.5
T-00263,2024-03-20,C174,A0033,1,9.0
T-00264,2024-04-24,C150,A0033,1,9.0
T-00265,2024-02-27,C270,A0031,2,12.0
T-00266,2024-01-18,C221,A0003,2,23.0
T-00267,2024-05-07,C254,A0033,3,9.0
T-00268,2024-12-09,C274,A0016,1,19.0
T-00269,2024-03-13,C181,A0030,2,12.0
T-00270,2024-11-27,C155,A0033,2,9.0
T-00271,2024-11-11,C215,A0001,3,23.0
T-00272,2024-04-14,C098,A0018,2,9.5
T-00273,2024-01-27,C090,A0030,1,12.0
T-00274,2024-07-03,C194,A0025,3,140.0
T-00275,2024-06-14,C096,A0027,3,26.0
T-00276,2024-05-11,C291,A0030,3,12.0
T-00277,2024-12-26,C178,A0007,1,9.0
T-00278,2024-07-24,C204,A0032,3,9.0
T-00279,2024-03-02,C234,A0024,3,2.5
T-00280,2024-11-03,C213,A0005,3,14.5
T-00281,2024-08-06,C275,A0027,3,26.0
T-00282,2024-07-24,C176,A0032,2,9.0
T-00283,2024-02-02,C249,A0024,3,2.5
T-00284,2024-12-12,C184,A0013,1,32.0
T-00285,2024-09-09,C135,A0027,3,26.0
T-00286,2024-02-13,C204,A0002,3,23.0
T-00287,2024-12-25,C124,A0033,3,9.0
T-00288,2024-02-10,C056,A0004,2,14.5
T-00289,2024-04-22,C236,A0022,1,8.5
T-00290,2024-08-19,C001,A0014,2,32.0
T-00291,2024-08-09,C287,A0028,1,22.0
T-00292,2024-11-02,C231,A0008,3,155.0
T-00293,2024-06-09,C002,A0029,2,850.0
T-00294,2024-10-08,C132,A0030,2,12.0
T-00295,2024-09-16,C076,A0033,2,9.0
T-00296,2024-10-01,C023,A0019,2,190.0
T-00297,2024-11-12,C035,A0009,1,155.0
T-00298,2024-06-14,C050,A0025,2,140.0
T-00299,2024-12-05,C156,A0002,2,23.0
T-00300,2024-06-08,C058,A0033,1,9.0
T-00301,2024-06-13,C165,A0032,2,9.0
T-00302,2024-09-13,C017,A0022,1,8.5
T-00303,2024-07-28,C035,A0030,3,12.0
T-00304,2024-02-22,C213,A0002,1,23.0
T-00305,2024-06-04,C115,A0024,3,2.5
T-00306,2024-11-07,C080,A0030,2,12.0
T-00307,2024-07-27,C081,A0027,2,26.0
T-00308,2024-07-27,C107,A0027,1,26.0
T-00309,2024-02-11,C298,A0003,2,23.0
T-00310,2024-05-24,C214,A0033,1,9.0
T-00311,2024-11-16,C062,A0031,1,12.0
T-00312,2024-10-04,C153,A0002,2,23.0
T-00313,2024-01-23,C257,A0023,1,2.5
T-00314,2024-11-28,C070,A0001,1,23.0
T-00315,2024-02-21,C050,A0025,2,140.0
T-00316,2024-09-08,C118,A0022,2,8.5
T-00317,2024-10-14,C044,A0016,1,19.0
T-00318,2024-03-14,C282,A0020,1,190.0
T-00319,2024-06-28,C114,A0030,3,12.0
T-00320,2024-01-05,C001,A0016,3,19.0
T-00321,2024-07-02,C071,A0028,3,22.0
T-00322,2024-02-04,C212,A0002,2,23.0
T-00323,2024-09-04,C038,A0023,1,2.5
T-00324,2024-01-23,C115,A0002,1,23.0
T-00325,2024-02-21,C060,A0001,1,23.0
T-00326,2024-03-28,C181,A0030,1,12.0
T-00327,2024-09-16,C086,A0027,3,26.0
T-00328,2024-10-07,C194,A0025,1,140.0
T-00329,2024-01-17,C242,A0022,2,8.5
T-00330,2024-01-10,C177,A0009,2,155.0
T-00331,2024-08-09,C171,A0032,3,9.0
T-00332,2024-03-13,C100,A0022,1,8.5
T-00333,2024-02-22,C290,A0004,3,14.5
T-00334,2024-06-24,C292,A0027,1,26.0
T-00335,2024-02-04,C235,A0004,2,14.5
T-00336,2024-12-05,C036,A0030,2,12.0
T-00337,2024-07-16,C040,A0028,3,22.0
T-00338,2024-02-28,C236,A0023,1,2.5
T-00339,2024-11-27,C209,A0005,3,14.5
T-00340,2024-12-26,C184,A0021,2,6.5
T-00341,2024-09-07,C116,A0029,1,850.0
T-00342,2024-06-04,C199,A0029,2,850.0
T-00343,2024-05-16,C295,A0018,2,9.5
T-00344,2024-12-28,C059,A0024,1,2.5
T-00345,2024-11-14,C232,A0004,1,14.5
T-00346,2024-06-12,C091,A0033,3,9.0
T-00347,2024-08-05,C242,A0012,1,13.5
T-00348,2024-07-26,C286,A0030,2,12.0
T-00349,2024-05-08,C088,A0033,3,9.0
T-00350,2024-08-27,C091,A0033,3,9.0
T-00351,2024-10-23,C032,A0021,2,6.5
T-00352,2024-11-06,C214,A0033,3,9.0
T-00353,2024-08-06,C219,A0026,2,26.0
T-00354,2024-03-27,C090,A0030,2,12.0
T-00355,2024-07-12,C116,A0028,2,22.0
T-00356,2024-12-21,C110,A0019,3,190.0
T-00357,2024-07-12,C019,A0026,2,26.0
T-00358,2024-11-13,C105,A0019,3,190.0
T-00359,2024-06-28,C123,A0028,1,22.0
T-00360,2024-10-21,C125,A0007,3,9.0
T-00361,2024-06-06,C219,A0028,1,22.0
T-00362,2024-03-18,C172,A0014,2,32.0
T-00363,2024-08-05,C112,A0030,1,12.0
T-00364,2024-09-11,C012,A0032,2,9.0
T-00365,2024-10-14,C148,A0032,1,9.0
T-00366,2024-05-18,C263,A0020,2,190.0
T-00367,2024-11-25,C213,A0005,1,14.5
T-00368,2024-01-12,C125,A0004,2,14.5
T-00369,2024-12-02,C027,A0004,1,14.5
T-00370,2024-03-05,C030,A0024,1,2.5
T-00371,2024-03-06,C003,A0031,1,12.0
T-00372,2024-07-11,C197,A0026,1,26.0
T-00373,2024-08-03,C195,A0027,3,26.0
T-00374,2024-08-08,C135,A0028,2,22.0
T-00375,2024-02-03,C139,A0003,3,23.0
T-00376,2024-07-11,C116,A0028,1,22.0
T-00377,2024-07-13,C205,A0029,2,850.0
T-00378,2024-02-26,C034,A0030,3,12.0
T-00379,2024-09-12,C139,A0031,3,12.0
T-00380,2024-02-28,C017,A0023,3,2.5
T-00381,2024-02-15,C269,A0033,2,9.0
T-00382,2024-08-24,C029,A0026,2,26.0
T-00383,2024-05-10,C204,A0017,2,9.5
T-00384,2024-06-18,C151,A0032,2,9.0
T-00385,2024-09-08,C186,A0033,1,9.0
T-00386,2024-04-20,C260,A0025,1,140.0
T-00387,2024-10-23,C153,A0003,1,23.0
T-00388,2024-04-24,C018,A0033,2,9.0
T-00389,2024-03-07,C279,A0022,3,8.5
T-00390,2024-07-27,C197,A0026,3,26.0
T-00391,2024-11-21,C180,A0032,2,9.0
T-00392,2024-02-08,C216,A0022,2,8.5
T-00393,2024-06-27,C249,A0022,1,8.5
T-00394,2024-05-09,C216,A0032,3,9.0
T-00395,2024-02-23,C091,A0019,2,190.0
T-00396,2024-07-23,C267,A0022,2,8.5
T-00397,2024-01-14,C167,A0016,3,19.0
T-00398,2024-06-16,C205,A0029,3,850.0
T-00399,2024-12-09,C183,A0012,1,13.5
T-00400,2024-06-10,C299,A0012,3,13.5
T-00401,2024-05-03,C277,A0016,2,19.0
T-00402,2024-10-01,C221,A0001,3,23.0
T-00403,2024-09-15,C245,A0022,2,8.5
T-00404,2024-12-19,C141,A0006,3,14.5
T-00405,2024-12-25,C221,A0003,1,23.0
T-00406,2024-12-17,C174,A0032,1,9.0
T-00407,2024-11-12,C149,A0032,3,9.0
T-00408,2024-06-22,C246,A0023,2,2.5
T-00409,2024-04-04,C018,A0023,1,2.5
T-00410,2024-07-16,C067,A0010,2,13.5
T-00411,2024-10-23,C276,A0030,1,12.0
T-00412,2024-05-27,C068,A0032,3,9.0
T-00413,2024-06-08,C210,A0030,1,12.0
T-00414,2024-01-06,C045,A0023,3,2.5
T-00415,2024-04-10,C174,A0033,3,9.0
T-00416,2024-10-27,C200,A0022,2,8.5
T-00417,2024-07-18,C026,A0029,1,850.0
T-00418,2024-02-08,C241,A0001,1,23.0
T-00419,2024-03-05,C003,A0030,2,12.0
T-00420,2024-05-24,C200,A0020,1,190.0
T-00421,2024-09-12,C093,A0033,1,9.0
T-00422,2024-02-03,C028,A0004,2,14.5
T-00423,2024-07-08,C276,A0021,1,6.5
T-00424,2024-08-24,C089,A0018,3,9.5
T-00425,2024-05-19,C077,A0023,2,2.5
T-00426,2024-08-21,C209,A0012,1,13.5
T-00427,2024-11-24,C056,A0007,3,9.0
T-00428,2024-01-15,C277,A0020,1,190.0
T-00429,2024-09-26,C042,A0026,3,26.0
T-00430,2024-05-14,C240,A0030,1,12.0
T-00431,2024-01-20,C239,A0002,2,23.0
T-00432,2024-10-18,C052,A0007,3,9.0
T-00433,2024-06-13,C022,A0026,3,26.0
T-00434,2024-06-11,C154,A0032,3,9.0
T-00435,2024-07-12,C170,A0025,1,140.0
T-00436,2024-04-11,C251,A0032,3,9.0
T-00437,2024-08-16,C074,A0026,3,26.0
T-00438,2024-01-02,C222,A0032,2,9.0
T-00439,2024-10-16,C176,A0032,1,9.0
T-00440,2024-01-07,C026,A0005,1,14.5
T-00441,2024-03-19,C155,A0033,1,9.0
T-00442,2024-02-25,C080,A0006,3,14.5
T-00443,2024-05-10,C193,A0032,3,9.0
T-00444,2024-11-08,C046,A0009,1,155.0
T-00445,2024-06-23,C234,A0021,3,6.5
T-00446,2024-08-25,C110,A0022,3,8.5
T-00447,2024-04-14,C050,A0021,2,6.5
T-00448,2024-09-04,C248,A0020,2,190.0
T-00449,2024-02-22,C035,A0030,2,12.0
T-00450,2024-01-28,C278,A0031,1,12.0
T-00451,2024-08-01,C177,A0027,2,26.0
T-00452,2024-02-23,C259,A0009,1,155.0
T-00453,2024-03-09,C001,A0016,3,19.0
T-00454,2024-08-02,C101,A0033,1,9.0
T-00455,2024-01-04,C149,A0033,1,9.0
T-00456,2024-01-03,C280,A0004,2,14.5
T-00457,2024-01-03,C059,A0022,1,8.5
T-00458,2024-02-16,C231,A0022,1,8.5
T-00459,2024-11-13,C228,A0031,2,12.0
T-00460,2024-10-10,C253,A0008,1,155.0
T-00461,2024-08-22,C242,A0023,3,2.5
T-00462,2024-04-10,C093,A0033,1,9.0
T-00463,2024-08-24,C172,A0025,2,140.0
T-00464,2024-02-24,C227,A0032,1,9.0
T-00465,2024-08-24,C174,A0032,2,9.0
T-00466,2024-03-11,C284,A0032,1,9.0
T-00467,2024-11-13,C086,A0005,1,14.5
T-00468,2024-08-15,C107,A0027,3,26.0
T-00469,2024-07-14,C146,A0028,2,22.0
T-00470,2024-02-13,C100,A0022,2,8.5
T-00471,2024-02-12,C270,A0001,2,23.0
T-00472,2024-01-20,C171,A0007,3,9.0
T-00473,2024-12-02,C118,A0025,3,140.0
T-00474,2024-12-18,C237,A0009,2,155.0
T-00475,2024-05-14,C041,A0033,2,9.0
T-00476,2024-12-15,C029,A0025,2,140.0
T-00477,2024-05-03,C256,A0031,2,12.0
T-00478,2024-10-13,C171,A0032,2,9.0
T-00479,2024-07-11,C146,A0029,2,850.0
T-00480,2024-12-26,C114,A0033,1,9.0
T-00481,2024-10-22,C209,A0020,3,190.0
T-00482,2024-04-24,C293,A0030,3,12.0
T-00483,2024-02-16,C176,A0016,3,19.0
T-00484,2024-11-17,C094,A0001,1,23.0
T-00485,2024-01-06,C018,A0033,3,9.0
T-00486,2024-07-12,C083,A0022,1,8.5
T-00487,2024-01-16,C157,A0017,1,9.5
T-00488,2024-11-22,C087,A0007,1,9.0
T-00489,2024-06-20,C005,A0033,3,9.0
T-00490,2024-08-18,C196,A0028,2,22.0
T-00491,2024-10-21,C192,A0012,3,13.5
T-00492,2024-10-12,C296,A0008,3,155.0
T-00493,2024-10-03,C202,A0005,1,14.5
T-00494,2024-05-03,C040,A0014,2,32.0
T-00495,2024-03-15,C168,A0019,1,190.0
T-00496,2024-10-04,C168,A0016,3,19.0
T-00497,2024-02-07,C235,A0006,1,14.5
T-00498,2024-03-26,C172,A0023,1,2.5
T-00499,2024-08-03,C026,A0033,3,9.0
T-00500,2024-04-13,C085,A0030,3,12.0
T-00501,2024-02-24,C089,A0015,2,19.0
T-00502,2024-03-10,C214,A0032,1,9.0
T-00503,2024-02-25,C048,A0020,2,190.0
T-00504,2024-09-16,C004,A0026,3,26.0
T-00505,2024-08-23,C101,A0032,3,9.0
T-00506,2024-10-08,C036,A0030,3,12.0
T-00507,2024-04-28,C227,A0032,2,9.0
T-00508,2024-12-06,C159,A0019,2,190.0
T-00509,2024-12-11,C044,A0013,3,32.0
T-00510,2024-06-07,C170,A0025,1,140.0
T-00511,2024-07-10,C217,A0025,2,140.0
T-00512,2024-10-22,C043,A0014,1,32.0
T-00513,2024-01-12,C053,A0033,3,9.0
T-00514,2024-01-05,C101,A0033,1,9.0
T-00515,2024-12-11,C128,A0016,2,19.0
T-00516,2024-09-05,C043,A0020,2,190.0
T-00517,2024-03-17,C166,A0013,2,32.0
T-00518,2024-05-11,C158,A0032,1,9.0
T-00519,2024-09-20,C097,A0028,3,22.0
T-00520,2024-08-12,C146,A0029,1,850.0
T-00521,2024-12-07,C084,A0021,2,6.5
T-00522,2024-04-12,C130,A0012,2,13.5
T-00523,2024-12-22,C098,A0018,2,9.5
T-00524,2024-08-13,C223,A0032,2,9.0
T-00525,2024-10-14,C060,A0004,3,14.5
T-00526,2024-09-08,C029,A0028,1,22.0
T-00527,2024-06-19,C287,A0028,1,22.0
T-00528,2024-12-15,C296,A0006,3,14.5
T-00529,2024-08-27,C275,A0028,1,22.0
T-00530,2024-02-04,C034,A0030,2,12.0
T-00531,2024-01-15,C047,A0002,3,23.0
T-00532,2024-05-06,C129,A0014,3,32.0
T-00533,2024-10-18,C143,A0013,2,32.0
T-00534,2024-09-05,C196,A0028,3,22.0
T-00535,2024-06-08,C148,A0033,2,9.0
T-00536,2024-08-24,C073,A0025,3,140.0
T-00537,2024-12-13,C114,A0031,1,12.0
T-00538,2024-09-20,C142,A0024,3,2.5
T-00539,2024-09-19,C299,A0013,2,32.0
T-00540,2024-07-11,C088,A0033,2,9.0
T-00541,2024-05-02,C151,A0033,3,9.0
T-00542,2024-10-26,C134,A0021,3,6.5
T-00543,2024-11-17,C259,A0009,2,155.0
T-00544,2024-11-28,C090,A0030,3,12.0
T-00545,2024-04-15,C023,A0021,1,6.5
T-00546,2024-10-26,C167,A0012,3,13.5
T-00547,2024-11-08,C273,A0031,3,12.0
T-00548,2024-11-16,C100,A0003,3,23.0
T-00549,2024-08-17,C205,A0028,3,22.0
T-00550,2024-12-23,C277,A0019,2,190.0
T-00551,2024-09-01,C135,A0027,2,26.0
T-00552,2024-01-04,C087,A0008,1,155.0
T-00553,2024-02-13,C049,A0008,1,155.0
T-00554,2024-09-08,C193,A0026,3,26.0
T-00555,2024-01-21,C246,A0005,1,14.5
T-00556,2024-01-02,C189,A0005,1,14.5
T-00557,2024-04-25,C295,A0030,2,12.0
