id_pedido,fecha,proveedor,id_articulo,cantidad,estado
PROV-127,2024-05-01,Distribuidor Oficial,A0023,50,recibido
PROV-128,2024-07-01,Distribuidor Oficial,A0011,50,recibido
PROV-129,2024-01-01,Distribuidor Oficial,A0026,50,recibido
PROV-130,2024-08-01,Distribuidor Oficial,A0020,50,recibido
PROV-131,2024-02-01,Distribuidor Oficial,A0005,50,recibido
PROV-132,2024-01-01,Distribuidor Oficial,A0013,50,recibido
PROV-133,2024-01-01,Distribuidor Oficial,A0013,50,recibido
PROV-134,2024-06-01,Distribuidor Oficial,A0019,50,recibido
PROV-135,2024-02-01,Distribuidor Oficial,A0033,50,recibido
PROV-136,2024-08-01,Distribuidor Oficial,A0022,50,recibido
PROV-137,2024-04-01,Distribuidor Oficial,A0003,50,recibido
PROV-138,2024-10-01,Distribuidor Oficial,A0011,50,recibido
PROV-139,2024-04-01,Distribuidor Oficial,A0027,50,recibido
PROV-140,2024-02-01,Distribuidor Oficial,A0021,50,recibido
PROV-141,2024-06-01,Distribuidor Oficial,A0012,50,recibido
PROV-142,2024-06-01,Distribuidor Oficial,A0006,50,recibido
PROV-143,2024-02-01,Distribuidor Oficial,A0004,50,recibido
PROV-144,2024-05-01,Distribuidor Oficial,A0002,50,recibido
PROV-145,2024-10-01,Distribuidor Oficial,A0004,50,recibido
PROV-146,2024-08-01,Distribuidor Oficial,A0031,50,recibido
PROV-147,2024-05-01,Distribuidor Oficial,A0024,50,recibido
PROV-148,2024-03-01,Distribuidor Oficial,A0023,50,recibido
PROV-149,2024-08-01,Distribuidor Oficial,A0011,50,recibido
PROV-150,2024-02-01,Distribuidor Oficial,A0006,50,recibido
PROV-151,2024-10-01,Distribuidor Oficial,A0021,50,recibido
PROV-152,2024-10-01,Distribuidor Oficial,A0033,50,recibido
PROV-153,2024-02-01,Distribuidor Oficial,A0012,50,recibido
PROV-154,2024-04-01,Distribuidor Oficial,A0006,50,recibido
PROV-155,2024-10-01,Distribuidor Oficial,A0013,50,recibido
PROV-156,2024-09-01,Distribuidor Oficial,A0011,50,recibido
PROV-157,2024-05-01,Distribuidor Oficial,A0025,50,recibido
PROV-158,2024-01-01,Distribuidor Oficial,A0006,50,recibido
PROV-159,2024-09-01,Distribuidor Oficial,A0003,50,recibido
PROV-160,2024-06-01,Distribuidor Oficial,A0032,50,recibido
PROV-161,2024-03-01,Distribuidor Oficial,A0014,50,recibido
PROV-162,2024-03-01,Distribuidor Oficial,A0004,50,recibido
PROV-163,2024-10-01,Distribuidor Oficial,A0001,50,recibido
PROV-164,2024-10-01,Distribuidor Oficial,A0005,50,recibido
PROV-165,2024-09-01,Distribuidor Oficial,A0006,50,recibido
PROV-166,2024-10-01,Distribuidor Oficial,A0012,50,recibido
PROV-167,2024-01-01,Distribuidor Oficial,A0003,50,recibido
PROV-168,2024-10-01,Distribuidor Oficial,A0006,50,recibido
PROV-169,2024-07-01,Distribuidor Oficial,A0029,50,recibido
PROV-170,2024-08-01,Distribuidor Oficial,A0001,50,recibido
PROV-171,2024-09-01,Distribuidor Oficial,A0026,50,recibido
PROV-172,2024-08-01,Distribuidor Oficial,A0012,50,recibido
PROV-173,2024-01-01,Distribuidor Oficial,A0015,50,recibido
PROV-174,2024-01-01,Distribuidor Oficial,A0007,50,recibido
PROV-175,2024-10-01,Distribuidor Oficial,A0012,50,recibido
PROV-176,2024-01-01,Distribuidor Oficial,A0032,50,recibido
PROV-177,2024-01-01,Distribuidor Oficial,A0007,50,recibido
PROV-178,2024-08-01,Distribuidor Oficial,A0025,50,recibido
PROV-179,2024-09-01,Distribuidor Oficial,A0009,50,recibido
PROV-180,2024-08-01,Distribuidor Oficial,A0016,50,recibido
PROV-181,2024-07-01,Distribuidor Oficial,A0008,50,recibido
PROV-182,2024-04-01,Distribuidor Oficial,A0001,50,recibido
PROV-183,2024-01-01,Distribuidor Oficial,A0015,50,recibido
PROV-184,2024-03-01,Distribuidor Oficial,A0003,50,recibido
PROV-185,2024-04-01,Distribuidor Oficial,A0011,50,recibido
PROV-186,2024-05-01,Distribuidor Oficial,A0016,50,recibido
PROV-187,2024-05-01,Distribuidor Oficial,A0007,50,recibido
PROV-188,2024-05-01,Distribuidor Oficial,A0006,50,recibido
PROV-189,2024-03-01,Distribuidor Oficial,A0018,50,recibido
PROV-190,2024-01-01,Distribuidor Oficial,A0021,50,recibido
PROV-191,2024-03-01,Distribuidor Oficial,A0013,50,recibido
PROV-192,2024-07-01,Distribuidor Oficial,A0006,50,recibido
PROV-193,2024-08-01,Distribuidor Oficial,A0031,50,recibido
PROV-194,2024-04-01,Distribuidor Oficial,A0003,50,recibido
PROV-195,2024-03-01,Distribuidor Oficial,A0020,50,recibido
PROV-196,2024-03-01,Distribuidor Oficial,A0032,50,recibido
PROV-197,2024-09-01,Distribuidor Oficial,A0009,50,recibido
PROV-198,2024-06-01,Distribuidor Oficial,A0007,50,recibido
PROV-199,2024-08-01,Distribuidor Oficial,A0018,50,recibido
PROV-200,2024-07-01,Distribuidor Oficial,A0014,50,recibido
