date,checkin_booking,status,partner,class_type
"2025-04-17T17:00:00.000+00:00",Booking,LATE_CANCELED,"Solo Cyclo",on-site
"2025-04-18T08:30:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-04-18T08:30:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-04-22T17:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-04-22T17:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-04-23T17:45:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-04-23T17:45:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-04-24T17:30:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-04-24T17:30:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-04-25T15:30:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-04-25T15:30:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-04-29T17:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-04-29T17:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-04-30T17:30:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-04-30T17:30:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-05-05T16:30:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-05-05T16:30:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-05-05T17:00:00.000+00:00",Booking,CANCELLED,"Solo Cyclo",on-site
"2025-05-06T16:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-05-06T16:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-05-08T16:30:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-05-08T16:30:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-05-12T16:30:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-05-12T16:30:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-05-13T16:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-05-13T16:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-05-15T16:30:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-05-15T16:30:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-05-17T09:15:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-05-17T09:15:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-05-19T16:30:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-05-19T16:30:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-05-20T16:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-05-20T16:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-05-21T16:30:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-05-21T16:30:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-05-22T16:30:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-05-22T16:30:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-05-24T08:00:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-05-24T08:00:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-05-27T16:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-05-27T16:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-05-29T16:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-05-29T16:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-06-02T16:30:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-06-02T16:30:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-06-10T16:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-06-10T16:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-06-12T17:00:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-06-12T17:00:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-06-14T09:30:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-06-14T09:30:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-06-15T16:47:31.699+00:00",Checkin,COMPLETED,"Bikram Yoga Valencia",on-site
"2025-06-17T16:30:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-06-17T16:30:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-06-18T16:30:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-06-18T16:30:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-06-19T17:00:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-06-19T17:00:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-06-24T15:30:00.000+00:00",Booking,CANCELLED,"Aero Studio Seijaku",on-site
"2025-06-24T16:30:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-06-24T16:30:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-06-25T16:30:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-06-25T16:30:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-06-26T17:00:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-06-26T17:00:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-07-01T17:00:00.000+00:00",Booking,COMPLETED,"Fargo Fitness",on-site
"2025-07-01T17:00:00.000+00:00",Checkin,COMPLETED,"Fargo Fitness",on-site
"2025-07-02T16:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-07-02T16:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-07-03T17:00:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-07-03T17:00:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-07-08T17:00:00.000+00:00",Booking,COMPLETED,"Fargo Fitness",on-site
"2025-07-08T17:00:00.000+00:00",Checkin,COMPLETED,"Fargo Fitness",on-site
"2025-07-09T16:30:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-07-09T16:30:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-07-14T16:30:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-07-14T16:30:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-07-21T15:30:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-07-21T15:30:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-07-23T15:30:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-07-23T15:30:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-07-28T17:00:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-07-28T17:00:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-07-30T16:30:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-07-30T16:30:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-09-01T17:00:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-09-01T17:00:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-09-02T17:00:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-09-02T17:00:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-09-03T16:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2025-09-03T16:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2025-09-04T16:30:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-09-04T16:30:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-09-05T16:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-09-05T16:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-09-08T17:00:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-09-08T17:00:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-09-09T18:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2025-09-09T18:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2025-09-10T16:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2025-09-10T16:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2025-09-12T15:15:00.000+00:00",Booking,REJECTED,"TRIB3 Granvia Valencia",on-site
"2025-09-12T16:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-09-12T16:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-09-15T17:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2025-09-15T17:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2025-09-15T17:15:00.000+00:00",Booking,REJECTED,"TRIB3 Granvia Valencia",on-site
"2025-09-16T16:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-09-16T16:15:00.000+00:00",Booking,REJECTED,"TRIB3 Granvia Valencia",on-site
"2025-09-16T16:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-09-17T16:30:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-09-17T16:30:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-09-22T17:00:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-09-22T17:00:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-09-23T16:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-09-23T16:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-09-24T18:00:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-09-24T18:00:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-09-25T16:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-09-25T16:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-09-30T06:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2025-09-30T06:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2025-10-02T17:00:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-10-02T17:00:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-10-03T06:10:00.000+00:00",Booking,CANCELLED,"Soma Club",on-site
"2025-10-06T17:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-10-06T17:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-10-07T06:10:00.000+00:00",Booking,NO_SHOW,"Soma Club",on-site
"2025-10-08T17:00:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-10-08T17:00:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-10-09T09:30:00.000+00:00",Booking,LATE_CANCELED,"TRIB3 Granvia Valencia",on-site
"2025-10-13T16:00:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-10-13T16:00:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-10-14T17:00:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-10-14T17:00:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-10-16T16:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2025-10-16T16:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2025-10-21T13:30:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2025-10-21T13:30:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2025-10-22T17:00:00.000+00:00",Booking,CANCELLED,"Solo Cyclo",on-site
"2025-10-27T17:00:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-10-27T17:00:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-10-28T07:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2025-10-28T07:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2025-10-29T18:00:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-10-29T18:00:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-10-30T17:00:00.000+00:00",Booking,CANCELLED,"Solo Cyclo",on-site
"2025-10-30T17:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2025-10-30T17:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2025-11-03T17:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-11-03T17:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-11-10T17:00:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-11-10T17:00:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-11-11T18:15:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-11-11T18:15:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-11-12T17:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-11-12T17:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-11-13T18:00:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-11-13T18:00:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-11-17T17:00:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-11-17T17:00:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-11-18T14:30:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2025-11-18T14:30:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2025-11-19T17:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-11-19T17:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-11-20T17:30:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-11-20T17:30:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-11-24T17:00:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-11-24T17:00:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-11-25T19:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2025-11-25T19:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2025-11-26T18:00:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-11-26T18:00:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-11-27T18:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-11-27T18:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-12-01T17:30:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-12-01T17:30:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-12-02T16:30:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-12-02T16:30:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-12-03T17:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-12-03T17:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2025-12-09T19:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2025-12-09T19:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2025-12-10T18:00:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-12-10T18:00:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-12-11T18:00:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-12-11T18:00:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-12-15T18:00:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2025-12-15T18:00:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2025-12-17T18:00:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-12-17T18:00:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2025-12-22T17:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2025-12-22T17:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2025-12-26T16:30:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2025-12-26T16:30:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2026-01-08T18:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2026-01-08T18:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2026-01-11T10:15:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2026-01-11T10:15:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2026-01-12T16:52:45.958+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2026-01-13T14:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2026-01-13T14:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2026-01-15T18:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2026-01-15T18:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2026-01-18T10:15:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2026-01-18T10:15:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2026-01-19T16:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2026-01-19T16:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2026-01-21T17:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2026-01-21T17:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2026-02-02T16:51:22.800+00:00",Checkin,COMPLETED,"Bikram Yoga Valencia",on-site
"2026-02-03T07:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2026-02-03T07:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2026-02-04T19:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2026-02-04T19:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2026-02-08T10:15:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2026-02-08T10:15:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2026-02-09T19:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2026-02-09T19:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2026-02-10T07:10:00.000+00:00",Booking,CANCELLED_BY_GYM,"Soma Club",on-site
"2026-02-11T17:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2026-02-11T17:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2026-02-15T10:15:00.000+00:00",Booking,CANCELLED,"Solo Cyclo",on-site
"2026-02-15T10:15:00.000+00:00",Booking,CANCELLED_BY_GYM,"Solo Cyclo",on-site
"2026-02-17T14:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2026-02-17T14:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
"2026-02-18T18:00:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2026-02-18T18:00:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2026-02-19T17:15:00.000+00:00",Booking,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2026-02-19T17:15:00.000+00:00",Checkin,COMPLETED,"TRIB3 Granvia Valencia",on-site
"2026-02-22T10:15:00.000+00:00",Booking,COMPLETED,"Solo Cyclo",on-site
"2026-02-22T10:15:00.000+00:00",Checkin,COMPLETED,"Solo Cyclo",on-site
"2026-02-23T17:00:00.000+00:00",Booking,COMPLETED,"Aero Studio Seijaku",on-site
"2026-02-23T17:00:00.000+00:00",Checkin,COMPLETED,"Aero Studio Seijaku",on-site
"2026-02-24T09:10:00.000+00:00",Booking,COMPLETED,"Soma Club",on-site
"2026-02-24T09:10:00.000+00:00",Checkin,COMPLETED,"Soma Club",on-site
